epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.206,4.35916,5.39543,4.39148,0.00017,0.0324,0.00013,4e-05,4.41343,4.94414,4.15827,0.00330623,0.00330623,0.00330623
2,404.844,4.30634,5.22425,4.35713,0.00106,0.02428,0.00062,0.00017,3.94581,inf,8.372,0.00663299,0.00663299,0.00663299
3,602.293,3.44012,3.69848,3.19454,0.37822,0.05913,0.02452,0.00702,3.01689,5.49996,2.71683,0.00995315,0.00995315,0.00995315
4,799.363,2.58665,2.4841,2.16384,0.44347,0.11218,0.08288,0.03089,2.47651,2.81653,2.19691,0.0099703,0.0099703,0.0099703
5,996.317,2.24202,2.08623,1.89111,0.67373,0.14248,0.13787,0.0578,2.10124,1.95815,1.8417,0.0099604,0.0099604,0.0099604
6,1193.52,2.04283,1.84823,1.74371,0.64348,0.16228,0.18149,0.08382,1.88545,1.69193,1.69335,0.0099505,0.0099505,0.0099505
7,1390.16,1.93773,1.68258,1.63572,0.44508,0.21109,0.19185,0.08824,1.82351,1.62455,1.63856,0.0099406,0.0099406,0.0099406
8,1587.07,1.85026,1.55689,1.57166,0.53777,0.22953,0.23239,0.10631,1.80806,1.48789,1.59178,0.0099307,0.0099307,0.0099307
9,1785.08,1.78738,1.46774,1.51362,0.41595,0.29524,0.2824,0.13341,1.71495,1.39493,1.5476,0.0099208,0.0099208,0.0099208
10,1982.71,1.72954,1.37754,1.45658,0.57344,0.28076,0.29358,0.15026,1.64074,1.29167,1.46767,0.0099109,0.0099109,0.0099109
11,2179.3,1.67287,1.31597,1.42084,0.64379,0.30131,0.34298,0.17354,1.58937,1.21965,1.43235,0.009901,0.009901,0.009901
12,2376.59,1.6315,1.25868,1.39795,0.65724,0.31011,0.3408,0.17926,1.5194,1.16508,1.37462,0.0098911,0.0098911,0.0098911
13,2573.6,1.59898,1.20584,1.36428,0.4693,0.31305,0.34295,0.17554,1.55479,1.16027,1.37346,0.0098812,0.0098812,0.0098812
14,2770.3,1.58758,1.19767,1.36328,0.48644,0.33244,0.37481,0.19739,1.48072,1.11193,1.3495,0.0098713,0.0098713,0.0098713
15,2967.55,1.53945,1.14065, ,0.54162,0.37585,0.39604,0.21528,1.48574,1.09276,1.32996,0.0098614,0.0098614,0.0098614
16,3261.57,1.51917,1.11918,1.31635,0.60913,0.41826,0.44657,0.23761,1.44206,1.00529,1.30138,0.0098515,0.0098515,0.0098515
17,3585.64,1.49922,1.08931,1.29904,0.59724,0.38206,0.41381,0.22968,1.49101,1.07369,1.33194,0.0098416,0.0098416,0.0098416
18,3784,1.48017,1.06704,1.28436,0.56594,0.39421,0.42125,0.23867,1.40063,1.00693,1.27678,0.0098317,0.0098317,0.0098317
19,4035.67,1.45989,1.04308,1.26637,0.59443,0.43224,0.46536,0.25404,1.39339,0.96061,1.26508,0.0098218,0.0098218,0.0098218
20,4392.22,1.46425,1.03063,1.26623,0.61562,0.41623,0.44982,0.24233,1.43157,1.02182,1.29035,0.0098119,0.0098119,0.0098119
