epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.743,6.9054,5.38148,4.20493,0.0041,0.00862,0.00048,0.00018,5.98103,7.91489,5.12527,0.0700815,0.00332428,0.00332428
2,277.201,5.56968,4.57778,3.64163,0.02517,0.0334,0.0085,0.00207,4.50444,3.34955,2.92702,0.0400376,0.00661367,0.00661367
3,413.778,3.78587,2.97058,2.41438,0.42093,0.08581,0.05685,0.02005,3.27826,2.96493,2.14663,0.00994964,0.00985906,0.00985906
4,547.947,2.99697,2.31372,1.96391,0.51798,0.11136,0.10101,0.03764,2.65418,2.01857,1.85104,0.009802,0.009802,0.009802
5,681.287,2.61801,1.99696,1.76781,0.50352,0.15459,0.14296,0.06283,2.36967,1.80948,1.68516,0.009736,0.009736,0.009736
6,816.142,2.38182,1.75651,1.64728,0.45579,0.19404,0.17128,0.07487,2.22086,1.5481,1.58786,0.00967,0.00967,0.00967
7,1058.59,2.25699,1.5996,1.57692,0.55218,0.22191,0.22089,0.1019,2.10623,1.41372,1.54555,0.009604,0.009604,0.009604
8,1341.61,2.14003,1.47251,1.51345,0.53176,0.24383,0.24032,0.1227,1.98977,1.34282,1.47073,0.009538,0.009538,0.009538
9,1624.23,2.06834,1.36582,1.47707,0.60337,0.24927,0.26658,0.13403,1.96363,1.30392,1.44854,0.009472,0.009472,0.009472
10,1906.26,2.01022,1.3067,1.44144,0.58793,0.29169,0.29193,0.15957,1.87526,1.21095,1.40993,0.009406,0.009406,0.009406
11,2168.72,1.94407,1.24727,1.4118,0.54169,0.30852,0.30794,0.16347,1.86888,1.17075,1.40613,0.00934,0.00934,0.00934
12,2430.11,1.88674,1.18389,1.38537,0.58899,0.31932,0.31439,0.17239,1.77153,1.12621,1.35885,0.009274,0.009274,0.009274
13,2690.26,1.83771,1.15189,1.35576,0.60102,0.31859,0.33505,0.18056,1.7452,1.11162,1.35115,0.009208,0.009208,0.009208
14,2950.94,1.82294,1.12967,1.34539,0.67296,0.30636,0.35583,0.19477,1.71657,1.07162,1.3267,0.009142,0.009142,0.009142
15,3211.22,1.78479,1.0978,1.33256,0.4778,0.35774,0.36627,0.20593,1.67823,1.02628,1.30959,0.009076,0.009076,0.009076
16,3471.35,1.75071,1.06376,1.30619,0.60858,0.36118,0.39888,0.22564,1.65402,0.99409,1.30074,0.00901,0.00901,0.00901
17,3732.83,1.72082,1.03602,1.29112,0.57453,0.39182,0.41149,0.23441,1.60402,0.9582,1.27555,0.008944,0.008944,0.008944
18,3993.51,1.69748,1.01697,1.2821,0.62915,0.37936,0.42249,0.23676,1.61445,0.97706,1.27173,0.008878,0.008878,0.008878
19,4253.03,1.66981,0.98642,1.27299,0.5842,0.39443,0.4032,0.22966,1.61349,0.96934,1.27278,0.008812,0.008812,0.008812
20,4509.87,1.65209,0.97485,1.27153,0.61133,0.39453,0.44699,0.25376,1.5741,0.92935,1.25405,0.008746,0.008746,0.008746
21,4720.48,1.62874,0.95492,1.25209,0.62649,0.42956,0.46427,0.26818,1.54815,0.90665,1.24352,0.00868,0.00868,0.00868
22,5006.24,1.61594,0.94371,1.23464,0.66553,0.3977,0.44998,0.2597,1.55504,0.91997,1.23832,0.008614,0.008614,0.008614
23,5277.33,1.59914,0.93355,1.24069,0.6243,0.43197,0.4605,0.26697,1.5128,0.88307,1.22097,0.008548,0.008548,0.008548
24,5537.55,1.58979,0.92234,1.2261,0.67232,0.43587,0.48667,0.28,1.51168,0.86287,1.21861,0.008482,0.008482,0.008482
25,5793.11,1.56697,0.90299,1.22029,0.61413,0.44279,0.47281,0.28008,1.51885,0.89607,1.22045,0.008416,0.008416,0.008416
26,6050.02,1.54006,0.88616,1.20743,0.69252,0.43123,0.48581,0.28195,1.50357,0.84892,1.21418,0.00835,0.00835,0.00835
27,6302.98,1.54292,0.88098,1.20848,0.62569,0.45992,0.49934,0.29529,1.45518,0.83357,1.19725,0.008284,0.008284,0.008284
28,6556.79,1.52348,0.87221,1.19959,0.63685,0.46151,0.48629,0.28419,1.45897,0.85558,1.19518,0.008218,0.008218,0.008218
29,6812.86,1.51343,0.86247,1.19382,0.63219,0.45982,0.49305,0.29201,1.4428,0.82385,1.18494,0.008152,0.008152,0.008152
30,7067.1,1.50695,0.85566,1.19307,0.71033,0.46635,0.5159,0.30421,1.45336,0.8081,1.18827,0.008086,0.008086,0.008086
31,7316.69,1.48728,0.84497,1.17727,0.68899,0.45965,0.51333,0.30601,1.41914,0.80349,1.17219,0.00802,0.00802,0.00802
32,7454.58,1.48226,0.8266,1.17903,0.67466,0.4694,0.51601,0.31144,1.41686,0.80216,1.18011,0.007954,0.007954,0.007954
33,7738.02,1.46699,0.81895,1.17098,0.66302,0.47186,0.5123,0.30617,1.40351,0.78655,1.16722,0.007888,0.007888,0.007888
34,8016.13,1.45288,0.81545,1.16907,0.72167,0.44094,0.52458,0.31482,1.40399,0.76997,1.16706,0.007822,0.007822,0.007822
35,8319.63,1.45597,0.81262,1.17114,0.73477,0.4654,0.54156,0.32293,1.40199,0.77602,1.16897,0.007756,0.007756,0.007756
36,8647.48,1.45401,0.80685,1.16242,0.69422,0.49014,0.54099,0.32418,1.38528,0.77323,1.16173,0.00769,0.00769,0.00769
37,8971.38,1.43235,0.79826,1.15331,0.70919,0.47047,0.53121,0.32579,1.38765,0.77303,1.15309,0.007624,0.007624,0.007624
38,9296.42,1.42123,0.79187,1.14525,0.70082,0.48327,0.52906,0.31915,1.37068,0.78854,1.1501,0.007558,0.007558,0.007558
39,9608.11,1.41677,0.78823,1.14948,0.68045,0.47814,0.52842,0.32794,1.35778,0.76863,1.14941,0.007492,0.007492,0.007492
40,9915.28,1.40931,0.77882,1.14276,0.71036,0.47493,0.54261,0.32961,1.35359,0.75535,1.14122,0.007426,0.007426,0.007426
