epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.665,7.24237,5.68635,4.35733,0.01429,0.00295,0.00055,0.00016,6.60149,6.59056,5.09181,0.0700815,0.00332428,0.00332428
2,344.349,6.65586,5.42197,4.29797,0.0008,0.04182,0.00046,0.00012,6.09516,5.36247,4.4252,0.0400376,0.00661367,0.00661367
3,502.929,4.89357,4.13166,3.33877,0.36461,0.05477,0.01441,0.00411,4.54823,8.56143,2.6623,0.00994964,0.00985906,0.00985906
4,657.862,3.45347,2.73202,2.19532,0.46258,0.09828,0.07784,0.03034,2.95433,2.45579,1.97394,0.009802,0.009802,0.009802
5,810.301,2.82074,2.18754,1.85119,0.75332,0.1215,0.13513,0.05564,2.47301,2.11392,1.73982,0.009736,0.009736,0.009736
6,961.581,2.50493,1.86883,1.69115,0.50514,0.16215,0.16468,0.07212,2.32485,1.68394,1.62882,0.00967,0.00967,0.00967
7,1112.12,2.35953,1.69793,1.60704,0.48613,0.20365,0.19232,0.08419,2.26538,1.54028,1.58492,0.009604,0.009604,0.009604
8,1261.74,2.23351,1.5478,1.53898,0.57228,0.23727,0.24739,0.11685,2.08937,1.38822,1.5063,0.009538,0.009538,0.009538
9,1412.4,2.12199,1.43847,1.48362,0.60449,0.26282,0.27085,0.13373,1.97194,1.32969,1.45601,0.009472,0.009472,0.009472
10,1580.24,2.06406,1.37329,1.44407,0.52841,0.25729,0.2482,0.12,2.03049,1.33397,1.45854,0.009406,0.009406,0.009406
11,1739.2,1.98893,1.30651,1.40563,0.60749,0.29711,0.31336,0.15693,1.89581,1.22266,1.40047,0.00934,0.00934,0.00934
12,1910.11,1.91506,1.2367,1.36683,0.62551,0.30801,0.30501,0.15681,1.80653,1.19552,1.35251,0.009274,0.009274,0.009274
13,2080.46,1.87937,1.20165,1.34486,0.5672,0.30058,0.32027,0.17419,1.80188,1.17782,1.34879,0.009208,0.009208,0.009208
14,2256.18,1.84531,1.18123,1.32813,0.59449,0.34333,0.37153,0.20224,1.72474,1.08071,1.299,0.009142,0.009142,0.009142
15,2430.61,1.81077,1.13828,1.3121,0.53753,0.36698,0.37568,0.20349,1.71658,1.06666,1.30148,0.009076,0.009076,0.009076
