epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.582,6.8997,5.31393,4.15904,0.00109,0.05122,0.00065,0.00017,6.09593,4.38499,4.25149,0.0700815,0.00332428,0.00332428
2,524.888,5.35796,4.45012,3.57299,0.53154,0.02448,0.00912,0.00255,4.50872,4.36561,2.94622,0.0400376,0.00661367,0.00661367
3,779.737,3.7716,2.98064,2.40632,0.58419,0.07381,0.05668,0.01918,3.27781,2.48763,2.14127,0.00994964,0.00985906,0.00985906
4,1035.69,3.02177,2.32384,1.968,0.31502,0.11065,0.10069,0.04048,2.63516,1.93839,1.84061,0.009802,0.009802,0.009802
5,1290.82,2.62037,2.00012,1.7686,0.57579,0.13062,0.14287,0.06244,2.29947,1.99097,1.67019,0.009736,0.009736,0.009736
6,1545.99,2.37474,1.76411,1.64143,0.472,0.17688,0.1724,0.07741,2.18789,1.53491,1.57406,0.00967,0.00967,0.00967
7,1757.14,2.24971,1.59399,1.56826,0.5726,0.19906,0.21813,0.10339,2.08621,1.40696,1.51811,0.009604,0.009604,0.009604
8,1878.18,2.13092,1.47006,1.50762,0.56762,0.22703,0.24405,0.12428,1.9546,1.30041,1.4495,0.009538,0.009538,0.009538
9,1999.25,2.05947,1.37252,1.46729,0.60646,0.24053,0.26997,0.13391,1.92846,1.2574,1.43748,0.009472,0.009472,0.009472
10,2120.58,1.99786,1.30715,1.43639,0.59994,0.29132,0.31108,0.16264,1.86098,1.19717,1.39755,0.009406,0.009406,0.009406
11,2335.22,1.93547,1.24683,1.40594,0.61709,0.30217,0.32103,0.17251,1.84531,1.14391,1.40095,0.00934,0.00934,0.00934
12,2590.88,1.88817,1.19586,1.38246,0.57915,0.32083,0.33122,0.1762,1.78324,1.11381,1.35089,0.009274,0.009274,0.009274
13,2861.03,1.84081,1.15681,1.35233,0.62547,0.31288,0.34524,0.18895,1.73066,1.09022,1.32693,0.009208,0.009208,0.009208
14,3083.07,1.81523,1.11962,1.33728,0.6712,0.31276,0.36069,0.2008,1.68937,1.09438,1.31564,0.009142,0.009142,0.009142
15,3251.86,1.77954,1.09153,1.32515,0.55857,0.35776,0.36433,0.20554,1.68458,1.01796,1.30492,0.009076,0.009076,0.009076
16,3380.09,1.7384,1.06664,1.30238,0.55556,0.38286,0.39001,0.21633,1.63522,0.98759,1.28491,0.00901,0.00901,0.00901
17,3581.11,1.71303,1.02858,1.28942,0.61879,0.386,0.41897,0.23655,1.61609,0.96703,1.2713,0.008944,0.008944,0.008944
18,3823.3,1.69854,1.01333,1.28173,0.61096,0.36619,0.39937,0.22418,1.63177,0.98968,1.28167,0.008878,0.008878,0.008878
19,4041.06,1.66885,0.98924,1.27237,0.5351,0.40027,0.41863,0.23795,1.59969,0.94226,1.25883,0.008812,0.008812,0.008812
20,4389.39,1.64363,0.97872,1.26559,0.62309,0.40168,0.43343,0.24839,1.56748,0.92262,1.25134,0.008746,0.008746,0.008746
21,4696.13,1.63403,0.95939,1.25206,0.66279,0.39012,0.44212,0.25821,1.55634,0.91515,1.24294,0.00868,0.00868,0.00868
22,4970.02,1.6107,0.93493,1.22948,0.64857,0.38948,0.43072,0.25279,1.54777,0.92834,1.23554,0.008614,0.008614,0.008614
23,5193.72,1.5947,0.93014,1.23427,0.65682,0.40752,0.45374,0.26454,1.51307,0.87179,1.22511,0.008548,0.008548,0.008548
24,5352.66,1.57706,0.90697,1.22018,0.66551,0.4294,0.4742,0.28229,1.49081,0.87999,1.21295,0.008482,0.008482,0.008482
25,5551.78,1.56087,0.90417,1.21951,0.60261,0.45471,0.45458,0.26518,1.50049,0.89749,1.21564,0.008416,0.008416,0.008416
26,5789.62,1.5334,0.8793,1.20365,0.66769,0.42999,0.47683,0.27946,1.47735,0.87336,1.20583,0.00835,0.00835,0.00835
