epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.167,5.73721,5.72317,4.43251,0.0058,0.00168,0.00038,0.0001,5.78838,5.27386,4.5926,0.0700815,0.00332428,0.00332428
2,507.04,5.75187,5.73717,4.43552,0.19054,0.00168,0.00081,0.00016,5.79625,5.25802,4.54142,0.0400376,0.00661367,0.00661367
3,769.104,5.79133,5.72637,4.43102,0.00663,0.00168,0.0005,0.00029,5.74653,5.26956,4.61458,0.00994964,0.00985906,0.00985906
4,951.233,5.79462,5.71353,4.43022,0.02291,0.00251,0.0021,0.00138,5.7995,5.2577,4.5185,0.009802,0.009802,0.009802
5,1093.71,5.7994,5.72585,4.42393,0.00857,0.00145,0.00041,0.00023,5.78589,5.26212,4.5665,0.009736,0.009736,0.009736
6,1234.71,5.778,5.72026,4.43799,0.17885,0.00251,0.00057,0.00027,5.74655,5.26772,4.61165,0.00967,0.00967,0.00967
7,1376.9,5.75953,5.72604,4.43833,0.01511,0.00255,0.00058,0.00016,5.8017,5.25863,4.52703,0.009604,0.009604,0.009604
8,1516.97,5.79148,5.73407,4.42774,0.1707,0.00088,0.00106,0.00041,5.79423,5.25845,4.53411,0.009538,0.009538,0.009538
9,1657.36,5.78848,5.7182,4.43795,0.2003,0.00084,0.00041,0.00015,5.80397,5.26106,4.52679,0.009472,0.009472,0.009472
10,1797.54,5.79186,5.73271,4.43622,0.00997,0.00255,0.00048,0.00024,5.76472,5.26968,4.61412,0.009406,0.009406,0.009406
11,1938.98,5.75638,5.73121,4.43898,0.00767,0.00172,0.00121,0.00027,5.7655,5.2742,4.59152,0.00934,0.00934,0.00934
12,2077.15,5.78604,5.71882,4.43029,0.00819,0.00172,0.00043,0.00011,5.78236,5.26501,4.56159,0.009274,0.009274,0.009274
13,2215.94,5.78314,5.72106,4.44025,0.00373,0.00295,0.00029,9e-05,5.80421,5.25965,4.53296,0.009208,0.009208,0.009208
14,2352.85,5.79054,5.72653,4.43694,0.00512,0.00084,0.00035,9e-05,5.77021,5.26803,4.56322,0.009142,0.009142,0.009142
15,2484.36,5.78812,5.72094,4.42364,0.00744,0.00251,0.00029,8e-05,5.79347,5.26325,4.54969,0.009076,0.009076,0.009076
