epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.942,5.79894,5.61625,4.46056,0.00088,0.05866,0.00051,0.00013,5.88119,5.64607,4.67378,0.0700815,0.00332428,0.00332428
2,346.917,5.83333,5.63076,4.4783,0.00078,0.05467,0.00046,0.00012,5.87458,5.61996,4.63883,0.0400376,0.00661367,0.00661367
3,483.652,5.85457,5.62016,4.45911,0.00088,0.05843,0.00052,0.00013,5.87685,5.70301,4.70653,0.00994964,0.00985906,0.00985906
4,619.557,5.83853,5.62442,4.45988,0.0008,0.05704,0.00046,0.00012,5.91155,5.47263,4.61013,0.009802,0.009802,0.009802
5,755.924,5.88654,5.62809,4.46819,0.00081,0.05418,0.00047,0.00012,5.85702,5.61941,4.67016,0.009736,0.009736,0.009736
6,891.961,5.85985,5.60737,4.47055,0.00082,0.05374,0.00047,0.00013,5.87853,5.55185,4.71175,0.00967,0.00967,0.00967
7,1028.58,5.83617,5.61932,4.46439,0.00083,0.05751,0.00048,0.00012,5.90026,5.61011,4.61459,0.009604,0.009604,0.009604
8,1162.64,5.84345,5.63864,4.44941,0.00075,0.05337,0.00043,0.00012,5.88472,5.52861,4.63564,0.009538,0.009538,0.009538
9,1296.48,5.87694,5.61269,4.46312,0.00084,0.06033,0.00049,0.00012,5.88488,5.64868,4.63327,0.009472,0.009472,0.009472
10,1430.68,5.86835,5.62651,4.46964,0.0008,0.0531,0.00046,0.00012,5.88772,5.65756,4.69801,0.009406,0.009406,0.009406
11,1565.15,5.81575,5.63315,4.46561,0.00084,0.05625,0.00049,0.00012,5.87821,5.6647,4.69895,0.00934,0.00934,0.00934
12,1698.49,5.85237,5.61666,4.45698,0.00083,0.06024,0.00047,0.00012,5.87557,5.66934,4.68372,0.009274,0.009274,0.009274
13,1833.01,5.8655,5.61287,4.47358,0.00079,0.05394,0.00046,0.00011,5.89118,5.59363,4.62696,0.009208,0.009208,0.009208
14,1969.46,5.87406,5.62282,4.46721,0.00091,0.06663,0.00053,0.00014,5.88008,5.63036,4.68141,0.009142,0.009142,0.009142
15,2104.47,5.86795,5.62317,4.46118,0.00083,0.05391,0.00048,0.00012,5.88052,5.58406,4.64717,0.009076,0.009076,0.009076
16,2239.15,5.86501,5.64582,4.46486,0.00083,0.05535,0.00048,0.00013,5.89722,5.48818,4.64593,0.00901,0.00901,0.00901
17,2373.29,5.81182,5.63591,4.46154,0.00084,0.05745,0.00049,0.00013,5.89128,5.47559,4.65842,0.008944,0.008944,0.008944
18,2508.67,5.82856,5.62108,4.45097,0.0008,0.0589,0.00046,0.00012,5.89203,5.59577,4.64699,0.008878,0.008878,0.008878
19,2645,5.84682,5.61053,4.45159,0.00085,0.05809,0.0005,0.00012,5.87293,5.51914,4.72132,0.008812,0.008812,0.008812
20,2776,5.80944,5.62417,4.45561,0.00088,0.05824,0.00051,0.00013,5.87915,5.68353,4.70781,0.008746,0.008746,0.008746
21,2909.84,5.8612,5.63395,4.4548,0.00083,0.05699,0.00048,0.00012,5.91764,5.55355,4.61105,0.00868,0.00868,0.00868
22,3045.82,5.83745,5.63879,4.46258,0.00087,0.06011,0.00052,0.00014,5.89207,5.53756,4.66031,0.008614,0.008614,0.008614
23,3181.08,5.83159,5.65095,4.45555,0.00088,0.06318,0.00051,0.00012,5.88202,5.53451,4.64769,0.008548,0.008548,0.008548
24,3415.64,5.81208,5.61757,4.46084,0.00085,0.06285,0.00049,0.00013,5.89578,5.57513,4.63197,0.008482,0.008482,0.008482
25,3545.52,5.78734,5.61366,4.45368,0.00086,0.05831,0.00049,0.00012,5.87914,5.70675,4.63633,0.008416,0.008416,0.008416
