epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.303,7.47482,5.13561,4.24999,0.00412,0.00212,0.00046,0.00013,6.80007,7.00484,4.88094,0.0700815,0.00332428,0.00332428
2,237.009,6.83442,4.84056,4.12384,0.00156,0.01577,0.00072,0.00017,5.7196,3.99794,4.09772,0.0400376,0.00661367,0.00661367
3,310.018,4.54113,3.54867,2.97707,0.56341,0.06415,0.03556,0.01156,3.68388,5.93562,2.385,0.00994964,0.00985906,0.00985906
4,382.771,3.30364,2.54145,2.06351,0.46357,0.10368,0.09592,0.03726,2.77554,2.031,1.88398,0.009802,0.009802,0.009802
5,455.971,2.76297,2.12224,1.78062,0.68701,0.13015,0.12798,0.05291,2.57153,2.11796,1.77372,0.009736,0.009736,0.009736
6,528.614,2.49107,1.89863,1.65531,0.5238,0.14335,0.14306,0.0642,2.36668,1.69616,1.63899,0.00967,0.00967,0.00967
7,601.345,2.33803,1.73003,1.57105,0.50296,0.22677,0.20311,0.09373,2.1392,1.49779,1.53227,0.009604,0.009604,0.009604
8,673.428,2.20748,1.59597,1.51275,0.52197,0.20697,0.22904,0.1069,2.04404,1.40454,1.47734,0.009538,0.009538,0.009538
9,746.01,2.10771,1.4834,1.4532,0.57445,0.2696,0.25764,0.12642,1.9159,1.3339,1.41698,0.009472,0.009472,0.009472
10,818.746,2.04501,1.41092,1.42327,0.55426,0.28948,0.27653,0.13597,1.92688,1.27903,1.42185,0.009406,0.009406,0.009406
11,891.007,2.0179,1.3654,1.40263,0.60994,0.28924,0.30492,0.15786,1.83074,1.22283,1.36013,0.00934,0.00934,0.00934
12,963.722,1.962,1.31634,1.36913,0.59725,0.31149,0.31522,0.16652,1.82412,1.19721,1.34819,0.009274,0.009274,0.009274
13,1036.08,1.89996,1.26321,1.33312,0.49798,0.31578,0.31819,0.16924,1.83025,1.19589,1.34324,0.009208,0.009208,0.009208
14,1108.63,1.88389,1.24387,1.33129,0.45466,0.33892,0.33878,0.18674,1.72022,1.1084,1.30249,0.009142,0.009142,0.009142
15,1181.3,1.83271,1.19626,1.31135,0.54997,0.35683,0.36297,0.1961,1.67876,1.10049,1.26609,0.009076,0.009076,0.009076
16,1253.61,1.80877,1.16678,1.2946,0.65187,0.34918,0.37812,0.20258,1.67293,1.0677,1.26015,0.00901,0.00901,0.00901
17,1326.37,1.77998,1.14437,1.28208,0.53138,0.38083,0.39144,0.21253,1.64413,1.05283,1.25437,0.008944,0.008944,0.008944
18,1398.61,1.75203,1.1081,1.25414,0.56391,0.38648,0.38742,0.21652,1.6055,1.0041,1.22573,0.008878,0.008878,0.008878
19,1471.14,1.72858,1.08878,1.24462,0.73793,0.33896,0.40784,0.22618,1.63442,1.0126,1.23095,0.008812,0.008812,0.008812
20,1544,1.70838,1.06385,1.23597,0.61357,0.39842,0.40692,0.22578,1.58785,1.03028,1.21356,0.008746,0.008746,0.008746
21,1616.66,1.68961,1.05191,1.22702,0.61684,0.40335,0.414,0.22663,1.56673,1.01176,1.19442,0.00868,0.00868,0.00868
22,1689.41,1.68111,1.04518,1.22501,0.62715,0.40149,0.44111,0.24495,1.56763,0.97304,1.19035,0.008614,0.008614,0.008614
