epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.371,6.74528,4.58374,3.96335,0.00045,0.0281,0.00025,7e-05,5.64739,110.727,8.85699,0.0700815,0.00332428,0.00332428
2,272.293,4.89902,3.6926,3.14307,0.06221,0.05703,0.02845,0.00808,3.85233,2.98893,2.54735,0.0400376,0.00661367,0.00661367
3,407.194,3.58175,2.64613,2.21813,0.44738,0.09821,0.07988,0.02959,2.99504,2.20216,2.02006,0.00994964,0.00985906,0.00985906
4,541.624,2.88578,2.13372,1.84914,0.31621,0.11583,0.11312,0.04495,2.64452,1.87459,1.81098,0.009802,0.009802,0.009802
5,676.124,2.53773,1.84667,1.69565,0.42082,0.22544,0.17614,0.07694,2.19479,1.57463,1.60705,0.009736,0.009736,0.009736
6,810.644,2.32907,1.65348,1.57374,0.51142,0.21869,0.20666,0.09766,2.13043,1.45184,1.54094,0.00967,0.00967,0.00967
7,945.369,2.1821,1.54865,1.50015,0.56578,0.24514,0.22302,0.11077,2.05033,1.44429,1.48186,0.009604,0.009604,0.009604
8,1153.91,2.09503,1.447,1.4552,0.60365,0.24751,0.26714,0.13401,1.90967,1.22785,1.41392,0.009538,0.009538,0.009538
9,1483.09,2.01903,1.35331,1.40955,0.64079,0.28181,0.30676,0.16147,1.8115,1.21102,1.37581,0.009472,0.009472,0.009472
10,1755.45,1.9578,1.29604,1.38702,0.46777,0.29642,0.2979,0.15434,1.79424,1.14897,1.36214,0.009406,0.009406,0.009406
11,1889.19,1.92375,1.24745,1.35902,0.62031,0.29473,0.32452,0.17386,1.7697,1.15228,1.34435,0.00934,0.00934,0.00934
12,2022.93,1.85566,1.19516,1.32927,0.46638,0.32587,0.35028,0.19218,1.69822,1.06475,1.30207,0.009274,0.009274,0.009274
13,2162.15,1.81748,1.15352,1.31126,0.44394,0.36431,0.34873,0.19229,1.72848,1.05784,1.3153,0.009208,0.009208,0.009208
14,2362.99,1.80402,1.13148,1.29514,0.52915,0.39135,0.38891,0.21619,1.61093,1.03074,1.27125,0.009142,0.009142,0.009142
15,2713.74,1.73585,1.08099,1.27249,0.5088,0.41243,0.3851,0.21528,1.60033,1.00164,1.26443,0.009076,0.009076,0.009076
16,2959.16,1.73115,1.08209,1.26745,0.47484,0.35513,0.39365,0.22314,1.59768,0.98882,1.2462,0.00901,0.00901,0.00901
17,3094.14,1.69844,1.04442,1.25793,0.62241,0.40543,0.438,0.24999,1.54539,0.93598,1.23461,0.008944,0.008944,0.008944
18,3228.73,1.69014,1.02046,1.24576,0.74087,0.36526,0.44143,0.25477,1.55318,0.927,1.22862,0.008878,0.008878,0.008878
19,3362.99,1.66322,1.01522,1.23694,0.63541,0.42644,0.45938,0.2715,1.50769,0.92306,1.21709,0.008812,0.008812,0.008812
20,3496.01,1.63755,0.98227,1.21692,0.62921,0.43473,0.4563,0.26661,1.48978,0.8962,1.20163,0.008746,0.008746,0.008746
21,3630.86,1.62648,0.97991,1.21724,0.60838,0.4351,0.47076,0.28072,1.48847,0.89121,1.20439,0.00868,0.00868,0.00868
22,3819.3,1.60982,0.96868,1.21538,0.67077,0.40874,0.45462,0.26151,1.50439,0.89799,1.20779,0.008614,0.008614,0.008614
23,4122.42,1.59715,0.94682,1.20392,0.68585,0.41281,0.4807,0.28664,1.44813,0.8643,1.18028,0.008548,0.008548,0.008548
24,4281.74,1.56944,0.93555,1.19735,0.68183,0.4181,0.47949,0.29343,1.45443,0.84857,1.1801,0.008482,0.008482,0.008482
25,4422.66,1.56471,0.9271,1.19324,0.63758,0.43747,0.48557,0.29315,1.44892,0.85094,1.18207,0.008416,0.008416,0.008416
26,4560.61,1.55345,0.91764,1.18,0.637,0.43387,0.47205,0.28267,1.4388,0.84546,1.17154,0.00835,0.00835,0.00835
27,4698.78,1.55412,0.911,1.17763,0.69535,0.44971,0.50253,0.30593,1.41569,0.82106,1.15535,0.008284,0.008284,0.008284
28,4836.87,1.54298,0.9024,1.16715,0.62202,0.46689,0.50087,0.3045,1.42995,0.83591,1.16168,0.008218,0.008218,0.008218
29,4975.6,1.54887,0.9015,1.17124,0.66279,0.45478,0.50788,0.30972,1.42615,0.80911,1.15564,0.008152,0.008152,0.008152
30,5115.12,1.51342,0.87564,1.15691,0.66307,0.49182,0.53044,0.32168,1.39828,0.79422,1.14602,0.008086,0.008086,0.008086
31,5256.68,1.50748,0.87874,1.15343,0.63043,0.47704,0.51794,0.31184,1.37984,0.80255,1.13887,0.00802,0.00802,0.00802
32,5401.87,1.48699,0.86439,1.14856,0.70563,0.45821,0.52903,0.32494,1.39157,0.80364,1.14685,0.007954,0.007954,0.007954
33,5545.4,1.49464,0.85963,1.13906,0.6942,0.4713,0.52577,0.32327,1.37272,0.76936,1.13378,0.007888,0.007888,0.007888
34,5683.82,1.47468,0.84544,1.13717,0.72846,0.47051,0.53821,0.33144,1.37786,0.78836,1.13058,0.007822,0.007822,0.007822
35,5830.07,1.47373,0.84586,1.14475,0.71216,0.48725,0.5475,0.3354,1.35407,0.77205,1.12772,0.007756,0.007756,0.007756
36,5975.27,1.468,0.83813,1.13368,0.70812,0.48636,0.55062,0.34086,1.35597,0.75684,1.1235,0.00769,0.00769,0.00769
37,6123.8,1.45265,0.82706,1.12298,0.7045,0.48935,0.54862,0.3355,1.36533,0.76537,1.1238,0.007624,0.007624,0.007624
38,6279.18,1.45393,0.82952,1.12672,0.75786,0.47899,0.55644,0.34023,1.3373,0.75746,1.11601,0.007558,0.007558,0.007558
39,6428.93,1.43977,0.81621,1.11991,0.71033,0.50254,0.56046,0.34872,1.3355,0.74778,1.11377,0.007492,0.007492,0.007492
40,154.048,1.44162,0.83322,1.11876,0.68511,0.48881,0.55831,0.34034,1.34531,0.77585,1.1159,0.007426,0.007426,0.007426
41,163.242,1.3422,0.77854,1.08311,0.70994,0.50672,0.57175,0.35152,1.33451,0.75348,1.11308,0.00736,0.00736,0.00736
42,321.355,1.44862,0.8406,1.12877,0.6734,0.51489,0.54997,0.34309,1.35691,0.74889,1.11938,0.007294,0.007294,0.007294
43,479.583,1.44649,0.84148,1.13197,0.74665,0.49552,0.56905,0.35284,1.34798,0.75201,1.11621,0.007228,0.007228,0.007228
44,625.141,1.44889,0.83408,1.122,0.70058,0.5026,0.56448,0.34516,1.33168,0.74363,1.10988,0.007162,0.007162,0.007162
45,782.365,1.43507,0.81288,1.11844,0.70386,0.49522,0.55821,0.34535,1.3413,0.74822,1.1115,0.007096,0.007096,0.007096
46,940.602,1.43741,0.81205,1.11576,0.70579,0.51493,0.568,0.35079,1.32461,0.73489,1.10339,0.00703,0.00703,0.00703
