epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/clpf_loss,train/mf_sigreg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,val/clpf_loss,val/mf_sigreg_loss,lr/pg0,lr/pg1,lr/pg2
1,233.726,6.27986,4.96055,4.12586,0.0594,0,0.00277,0.01337,0.00146,0.0004,0,0,2834,5.21958,5.84208,4.14954,0,0,0.0700815,0.00332428,0.00332428
2,504.137,4.63518,3.8273,3.21729,0.05767,0,0.02124,0.04345,0.00813,0.00212,0.00019,5e-05,2834,5.0152,5.62662,3.61229,0,0,0.0400376,0.00661367,0.00661367
3,763.619,3.51412,2.67585,2.2554,0.0544,0,0.43671,0.08942,0.06764,0.0257,0.00151,0.00039,2834,3.114,2.61814,2.10361,0,0,0.00994964,0.00985906,0.00985906
4,1032.01,2.80381,2.1222,1.8512,0.04779,0,0.74861,0.11588,0.12776,0.05015,0.00662,0.00164,2834,2.62203,1.89153,1.79671,0,0,0.009802,0.009802,0.009802
5,1298.25,2.44324,1.83331,1.67118,0.04392,0,0.54295,0.18303,0.19097,0.08503,0.01421,0.00393,2834,2.21582,1.65461,1.60296,0,0,0.009736,0.009736,0.009736
6,1572.52,2.23271,1.60431,1.55761,0.04086,0,0.59736,0.27526,0.25205,0.12508,0.017,0.00497,2834,2.01619,1.39618,1.49241,0,0,0.00967,0.00967,0.00967
7,1846.59,2.10616,1.46583,1.48989,0.03882,0,0.58765,0.25869,0.27682,0.13121,0.01607,0.00536,2834,1.99598,1.28537,1.4699,0,0,0.009604,0.009604,0.009604
8,2118.16,2.01311,1.35169,1.43447,0.03711,0,0.65198,0.23747,0.26965,0.13227,0.02066,0.00625,2834,2.01521,1.44012,1.4608,0,0,0.009538,0.009538,0.009538
9,2388.01,1.93384,1.27123,1.39658,0.03516,0,0.51017,0.30996,0.32855,0.17337,0.02093,0.00678,2834,1.81828,1.17341,1.37403,0,0,0.009472,0.009472,0.009472
10,2799.49,1.88876,1.22789,1.36639,0.03302,0,0.55389,0.31938,0.33885,0.1789,0.02024,0.00577,2834,1.78011,1.16741,1.34772,0,0,0.009406,0.009406,0.009406
11,3097.67,1.82943,1.17231,1.33819,0.03152,0,0.60712,0.35641,0.37998,0.20794,0.02577,0.0081,2834,1.75549,1.09407,1.32494,0,0,0.00934,0.00934,0.00934
12,3365.73,1.7763,1.12629,1.31029,0.02972,0,0.57158,0.3639,0.3773,0.21402,0.02512,0.00755,2834,1.6949,1.04542,1.29891,0,0,0.009274,0.009274,0.009274
13,3622.26,1.74749,1.09357,1.29272,0.02837,0,0.58061,0.38349,0.40374,0.22543,0.02818,0.00877,2834,1.65912,1.03245,1.28118,0,0,0.009208,0.009208,0.009208
14,3879.31,1.72344,1.06661,1.28072,0.02763,0,0.61274,0.36817,0.4028,0.2214,0.02902,0.00913,2834,1.67191,1.01895,1.27703,0,0,0.009142,0.009142,0.009142
15,4155.32,1.68925,1.03742,1.2689,0.02627,0,0.65041,0.36878,0.41218,0.23074,0.03053,0.01004,2834,1.61241,1.00345,1.25824,0,0,0.009076,0.009076,0.009076
16,4414.58,1.66577,1.01739,1.24848,0.0259,0,0.68123,0.37018,0.43311,0.2503,0.029,0.00929,2834,1.57982,0.98519,1.25025,0,0,0.00901,0.00901,0.00901
17,4672.25,1.63138,0.98911,1.23835,0.02608,0,0.6803,0.39031,0.44246,0.25444,0.03086,0.01,2834,1.58188,0.96982,1.25131,0,0,0.008944,0.008944,0.008944
18,4929.3,1.62888,0.97857,1.23432,0.02501,0,0.62228,0.39809,0.4484,0.26659,0.03697,0.01279,2834,1.53927,0.92858,1.22082,0,0,0.008878,0.008878,0.008878
19,5197.46,1.5925,0.95456,1.21778,0.02425,0,0.61589,0.42949,0.46755,0.2726,0.04195,0.01431,2834,1.52593,0.90923,1.21452,0,0,0.008812,0.008812,0.008812
20,5463.09,1.56768,0.94076,1.2143,0.02369,0,0.65918,0.41013,0.47065,0.27013,0.03854,0.0122,2834,1.50699,0.88944,1.2067,0,0,0.008746,0.008746,0.008746
21,5730.35,1.54904,0.92676,1.19652,0.02305,0,0.64393,0.42145,0.47673,0.27798,0.03911,0.01241,2834,1.49026,0.89642,1.20217,0,0,0.00868,0.00868,0.00868
22,5995.2,1.53799,0.90819,1.17797,0.02327,0,0.64519,0.43994,0.48084,0.27661,0.0422,0.01378,2834,1.48856,0.8774,1.19395,0,0,0.008614,0.008614,0.008614
