epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.485,7.32362,5.63332,4.34276,0.00032,0.03477,0.00018,6e-05,7.29662,7.77168,4.67406,0.0700815,0.00332428,0.00332428
2,263.64,6.9981,5.37999,4.25744,0.00118,0.05589,0.00068,0.00018,6.33524,4.31113,4.09083,0.0400376,0.00661367,0.00661367
3,396.047,4.61135,3.88591,3.13547,0.39339,0.05251,0.02259,0.00611,4.34885,7.81426,2.71035,0.00994964,0.00985906,0.00985906
4,530.057,3.40209,2.70109,2.16834,0.26438,0.09245,0.06787,0.02675,3.02798,2.30792,2.00523,0.009802,0.009802,0.009802
5,663.027,2.84437,2.20761,1.85712,0.81667,0.11429,0.11751,0.04895,2.53592,1.94492,1.74123,0.009736,0.009736,0.009736
6,795.604,2.53242,1.90343,1.68042,0.66067,0.15629,0.17196,0.08053,2.33913,1.71373,1.62883,0.00967,0.00967,0.00967
7,925.952,2.35022,1.71422,1.56868,0.5497,0.2029,0.20171,0.09384,2.20906,1.5933,1.53142,0.009604,0.009604,0.009604
8,1056.56,2.21981,1.57482,1.49709,0.59289,0.22268,0.21969,0.10261,2.12828,1.43359,1.47518,0.009538,0.009538,0.009538
9,1186.32,2.11855,1.45432,1.44595,0.57833,0.21788,0.22794,0.11043,2.0243,1.44442,1.42969,0.009472,0.009472,0.009472
10,1316.08,2.06193,1.38627,1.41003,0.59934,0.28097,0.28952,0.14272,1.97372,1.31469,1.38776,0.009406,0.009406,0.009406
11,1439.17,1.97784,1.30668,1.36654,0.58888,0.28232,0.30901,0.15709,1.88278,1.20987,1.34702,0.00934,0.00934,0.00934
12,1560.43,1.92457,1.24762,1.33384,0.62149,0.31092,0.33428,0.17352,1.85054,1.20022,1.32074,0.009274,0.009274,0.009274
13,1682.16,1.88766,1.21797,1.31065,0.48317,0.31616,0.31562,0.16425,1.82336,1.17949,1.31101,0.009208,0.009208,0.009208
14,1803.37,1.85751,1.18047,1.29357,0.55327,0.35024,0.36786,0.19835,1.719,1.13922,1.26839,0.009142,0.009142,0.009142
15,1924.86,1.8109,1.14624,1.27799,0.4863,0.38332,0.37515,0.20454,1.72454,1.07115,1.25349,0.009076,0.009076,0.009076
16,2046.43,1.77773,1.1092,1.25234,0.58276,0.37769,0.39487,0.21986,1.67281,1.04128,1.23721,0.00901,0.00901,0.00901
17,2167.81,1.76049,1.09114,1.24563,0.52362,0.37326,0.39061,0.22249,1.67862,1.05921,1.23517,0.008944,0.008944,0.008944
18,2289.23,1.74147,1.07439,1.24129,0.66582,0.35135,0.41309,0.23534,1.64726,1.00041,1.22052,0.008878,0.008878,0.008878
19,2410.55,1.70991,1.04087,1.22645,0.61373,0.37015,0.41581,0.233,1.62944,0.99579,1.21501,0.008812,0.008812,0.008812
20,2531.78,1.6802,1.02725,1.21616,0.65104,0.3826,0.42545,0.24699,1.6018,0.96132,1.19894,0.008746,0.008746,0.008746
21,2652.97,1.66395,1.01334,1.20162,0.59631,0.39038,0.42669,0.24386,1.57845,0.96312,1.18971,0.00868,0.00868,0.00868
22,2774.06,1.65351,0.99258,1.18813,0.62341,0.39023,0.42966,0.2414,1.59409,0.98156,1.20246,0.008614,0.008614,0.008614
23,2897.27,1.62852,0.98496,1.19065,0.56249,0.40534,0.42275,0.23958,1.59323,0.97604,1.19243,0.008548,0.008548,0.008548
24,3018.51,1.62351,0.97338,1.18216,0.63256,0.41383,0.4596,0.27313,1.52154,0.92623,1.16299,0.008482,0.008482,0.008482
25,3139.85,1.60435,0.95554,1.17755,0.63484,0.38759,0.43096,0.24894,1.57486,0.94063,1.18691,0.008416,0.008416,0.008416
26,3260.95,1.57244,0.93388,1.16473,0.60065,0.42222,0.45897,0.27205,1.49719,0.90382,1.15551,0.00835,0.00835,0.00835
27,3382.47,1.5659,0.92839,1.1573,0.61038,0.44045,0.47249,0.27248,1.50632,0.90349,1.14977,0.008284,0.008284,0.008284
28,3503.81,1.56015,0.91946,1.15693,0.61283,0.43872,0.47258,0.27961,1.45936,0.89136,1.13672,0.008218,0.008218,0.008218
29,3625.34,1.54995,0.90867,1.14992,0.66977,0.42973,0.49011,0.29056,1.46236,0.8638,1.13699,0.008152,0.008152,0.008152
30,3746.56,1.53588,0.90396,1.1472,0.64266,0.43043,0.47918,0.2875,1.45332,0.86766,1.13666,0.008086,0.008086,0.008086
31,3871.25,1.52051,0.88784,1.13152,0.64183,0.42653,0.48767,0.28639,1.44332,0.86233,1.12525,0.00802,0.00802,0.00802
32,4000.96,1.50899,0.87402,1.13131,0.65878,0.45091,0.49693,0.29419,1.47381,0.86233,1.13981,0.007954,0.007954,0.007954
33,4131.13,1.49951,0.87137,1.13207,0.65785,0.45184,0.51005,0.30751,1.43159,0.83584,1.12092,0.007888,0.007888,0.007888
34,4261.07,1.49379,0.86338,1.12817,0.6834,0.44708,0.51067,0.31403,1.4146,0.83036,1.1167,0.007822,0.007822,0.007822
35,4395.44,1.49133,0.85839,1.12354,0.60998,0.46458,0.50227,0.30402,1.42611,0.82774,1.11789,0.007756,0.007756,0.007756
36,4532.51,1.47525,0.85037,1.11585,0.71687,0.45295,0.52203,0.31685,1.41021,0.81042,1.10512,0.00769,0.00769,0.00769
37,4660.05,1.47042,0.8497,1.11524,0.65081,0.42814,0.49367,0.28736,1.46717,0.86002,1.13321,0.007624,0.007624,0.007624
38,4786.65,1.45282,0.83415,1.10075,0.66577,0.47063,0.51678,0.31286,1.40519,0.80907,1.1068,0.007558,0.007558,0.007558
39,4913.07,1.44283,0.83556,1.10206,0.69332,0.49507,0.53411,0.3247,1.38846,0.80119,1.09849,0.007492,0.007492,0.007492
40,5039.69,1.45154,0.82734,1.09938,0.71064,0.47705,0.54045,0.32951,1.3963,0.79225,1.09575,0.007426,0.007426,0.007426
41,5172.96,1.43852,0.82135,1.09621,0.72721,0.46427,0.53423,0.32709,1.39894,0.80448,1.10201,0.00736,0.00736,0.00736
