epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.18,7.15594,5.69589,4.31298,0.00036,0.01276,0.00026,7e-05,6.10288,7.61896,5.13573,0.0700815,0.00332428,0.00332428
2,247.189,6.32568,5.33186,4.19817,0.00339,0.01288,0.00193,0.00057,5.15511,4.15,3.81893,0.0400376,0.00661367,0.00661367
3,368.699,4.31852,3.58342,2.88373,0.55413,0.05525,0.02727,0.00848,4.24047,3.86483,2.52625,0.00994964,0.00985906,0.00985906
4,490.583,3.20219,2.47917,2.05492,0.4671,0.0984,0.09387,0.03756,2.78139,2.29084,1.86093,0.009802,0.009802,0.009802
5,612.423,2.6641,2.04754,1.76217,0.59317,0.1302,0.13835,0.06139,2.32564,1.96294,1.65483,0.009736,0.009736,0.009736
6,734.372,2.38395,1.77093,1.61409,0.51112,0.15741,0.16843,0.08004,2.23065,1.61524,1.58263,0.00967,0.00967,0.00967
7,856.143,2.24913,1.6078,1.54123,0.50242,0.23793,0.21942,0.11034,2.05905,1.43663,1.47806,0.009604,0.009604,0.009604
8,978.178,2.1393,1.48058,1.47924,0.54107,0.23724,0.24777,0.12426,1.988,1.37403,1.43287,0.009538,0.009538,0.009538
9,1099.93,2.04914,1.3927,1.4395,0.51731,0.28433,0.25812,0.13204,1.89755,1.31055,1.40403,0.009472,0.009472,0.009472
10,1221.39,1.99239,1.33438,1.40325,0.5833,0.27278,0.30233,0.16388,1.86132,1.24585,1.38046,0.009406,0.009406,0.009406
11,1342.84,1.92546,1.26687,1.37264,0.58618,0.28596,0.32105,0.17089,1.79722,1.17343,1.34368,0.00934,0.00934,0.00934
12,1464.06,1.88005,1.21014,1.34535,0.60515,0.30251,0.32137,0.17346,1.80545,1.15058,1.34806,0.009274,0.009274,0.009274
13,1585.41,1.83461,1.17748,1.32345,0.57725,0.34639,0.36197,0.20106,1.71863,1.08079,1.30124,0.009208,0.009208,0.009208
14,1706.63,1.81357,1.14316,1.30873,0.67342,0.31344,0.37303,0.20804,1.67975,1.06864,1.28188,0.009142,0.009142,0.009142
15,1827.71,1.772,1.11616,1.29035,0.55236,0.37744,0.37441,0.20886,1.6701,1.06327,1.27863,0.009076,0.009076,0.009076
16,1949.32,1.73722,1.07882,1.26902,0.62511,0.36812,0.40842,0.23473,1.60734,1.01865,1.25081,0.00901,0.00901,0.00901
