epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.187,6.78553,4.66954,3.62976,0.00125,0.05032,0.00075,0.00018,8e-05,2e-05,3770,6.24438,3.73856,3.36392,0.0700584,0.00332685,0.00332685
2,251.398,5.09288,3.91889,2.8057,0.07488,0.09647,0.03821,0.01064,0.00659,0.00159,3770,4.20302,4.10602,2.35173,0.0400144,0.00661622,0.00661622
3,435.381,3.53375,2.49349,2.05731,0.63996,0.11114,0.11941,0.04367,0.01839,0.00478,3770,3.21112,2.15071,1.92845,0.00992645,0.0098616,0.0098616
4,612.353,2.90419,1.95909,1.77258,0.24537,0.29013,0.20321,0.07982,0.0357,0.01026,3770,2.66295,1.92542,1.69031,0.009802,0.009802,0.009802
5,760.246,2.60107,1.6825,1.62916,0.39657,0.32671,0.31397,0.13651,0.06475,0.02089,3770,2.37322,1.44053,1.55425,0.009736,0.009736,0.009736
6,841.926,2.40465,1.50568,1.54548,0.43071,0.36227,0.34822,0.15878,0.07119,0.02438,3770,2.21878,1.33921,1.49843,0.00967,0.00967,0.00967
7,923.471,2.29671,1.38989,1.48996,0.45189,0.35505,0.3562,0.16004,0.0691,0.02344,3770,2.23097,1.30611,1.4759,0.009604,0.009604,0.009604
8,1005.72,2.21611,1.30824,1.44436,0.48709,0.35153,0.37009,0.1658,0.08084,0.02769,3770,2.20775,1.24978,1.45137,0.009538,0.009538,0.009538
9,1087.57,2.13133,1.23438,1.4049,0.49316,0.3657,0.3846,0.17874,0.08317,0.02827,3770,2.12717,1.28896,1.42199,0.009472,0.009472,0.009472
10,1170.48,2.0885,1.19997,1.38531,0.44617,0.42546,0.37037,0.16546,0.09004,0.03135,3770,2.02521,1.41817,1.36684,0.009406,0.009406,0.009406
11,1253.67,2.03658,1.1541,1.36089,0.5979,0.42807,0.47717,0.22783,0.11553,0.04143,3770,1.93371,1.07606,1.32254,0.00934,0.00934,0.00934
12,1335.06,2.00258,1.11515,1.33829,0.56248,0.41643,0.45578,0.21654,0.10094,0.0354,3770,1.95907,1.1178,1.33802,0.009274,0.009274,0.009274
13,1416.34,1.96155,1.09268,1.32856,0.58736,0.436,0.47357,0.23397,0.10886,0.03974,3770,1.85895,1.05229,1.3024,0.009208,0.009208,0.009208
14,1497.6,1.93021,1.07109,1.30959,0.58392,0.45797,0.49611,0.2409,0.1285,0.04684,3770,1.88619,1.03739,1.30437,0.009142,0.009142,0.009142
15,1579.31,1.90574,1.03942,1.29593,0.63606,0.45587,0.50878,0.24916,0.13261,0.04877,3770,1.84453,0.99649,1.2828,0.009076,0.009076,0.009076
16,1661.16,1.88987,1.02206,1.28956,0.59992,0.48092,0.52507,0.25442,0.1395,0.05038,3770,1.83233,0.99278,1.27677,0.00901,0.00901,0.00901
17,1742.87,1.86335,1.00282,1.27532,0.61706,0.5008,0.54995,0.27433,0.14663,0.05355,3770,1.77141,0.94666,1.24728,0.008944,0.008944,0.008944
18,1824.91,1.83982,0.98944,1.26554,0.62275,0.47379,0.52245,0.25898,0.13633,0.05054,3770,1.7726,0.95733,1.25552,0.008878,0.008878,0.008878
19,1906.68,1.83183,0.97742,1.26557,0.62374,0.48105,0.53141,0.2656,0.13882,0.05185,3770,1.77286,0.95087,1.25341,0.008812,0.008812,0.008812
20,1988.59,1.81171,0.96569,1.25303,0.65203,0.50866,0.56209,0.28067,0.14819,0.05406,3770,1.74336,0.92992,1.23623,0.008746,0.008746,0.008746
21,2070.07,1.80399,0.95995,1.24738,0.65504,0.50458,0.56259,0.27876,0.15559,0.05727,3770,1.75684,0.93979,1.23601,0.00868,0.00868,0.00868
